post_code,casos_positivos,total_casos
46530,2,10
46595,0,2
46600,0,1
46630,3,27
46640,6,48
46650,1,13
46689,0,1
46690,0,1
46701,0,2
46702,0,4
46710,2,3
46715,3,45
46720,1,6
46722,0,3
46727,0,1
46730,0,15
46760,3,60
46770,0,2
46780,0,1
46800,23,236
46850,19,109
46870,6,26
46900,3,18
46901,4,25
46910,0,31
46920,1,198
46940,9,106
46950,0,2
46960,0,4
46970,1,27
46980,1,43
46988,1,1
47004,4,14
47007,0,2
47008,4,17
47013,0,1
47014,0,4
47100,0,4
47420,0,1
48003,1,1
48005,2,20
48006,0,1
48007,7,18
48008,0,6
48013,1,5
48014,0,1
48015,9,36
48100,8,35
48130,1,8
48220,0,6
48480,0,2
48600,1,1
48610,0,3
48903,0,2
48920,1,5
48940,1,26
48950,1,1
48960,1,3
48991,7,16
49005,1,2
49006,1,5
49300,4,30
49800,15,196
49882,0,2
50002,2,8
50003,1,17
50005,0,4
50006,2,103
50007,1,7
50009,3,75
50010,25,303
50011,0,3
50012,7,330
50014,6,37
50015,7,229
50016,0,3
50017,0,59
50018,8,88
50019,1,25
50021,6,158
50100,5,34
50130,16,74
50172,12,81
50180,10,77
50194,0,2
50300,2,5
50410,13,236
50540,3,36
50620,2,38
50630,0,19
50692,0,1
50720,0,1
50781,0,3
50800,1,12
50830,12,113
52005,2,2
52006,2,3
