Postal code,n_positives,city
17404,5,Girona
17411,0,Girona
17412,0,Girona
17488,12,Girona
17600,4,Girona
17706,0,Girona
18002,0,Granada
18003,4,Granada
18005,1,Granada
18006,0,Granada
18007,0,Granada
18008,5,Granada
18009,3,Granada
18012,23,Granada
18014,6,Granada
18015,1,Granada
18016,0,Granada
18110,2,Granada
18193,3,Granada
18195,1,Granada
18197,4,Granada
18200,2,Granada
18220,0,Granada
18230,3,Granada
18300,0,Granada
18360,1,Granada
18500,70,Granada
18600,1,Granada
18620,11,Granada
18680,0,Granada
18690,25,Granada
18800,32,Granada
18810,0,Granada
18812,1,Granada
18817,12,Granada
18818,0,Granada
18830,0,Granada
19004,0,Guadalajara
19141,0,Guadalajara
19170,1,Guadalajara
19171,0,Guadalajara
19174,0,Guadalajara
19180,1,Guadalajara
19185,0,Guadalajara
19187,0,Guadalajara
19188,2,Guadalajara
19200,0,Guadalajara
19208,0,Guadalajara
19326,1,Guadalajara
20001,1,Gipuzkoa
20002,16,Gipuzkoa
20010,2,Gipuzkoa
20012,0,Gipuzkoa
20015,1,Gipuzkoa
20017,3,Donostia
20120,1,Gipuzkoa
20304,0,Gipuzkoa
20305,9,Gipuzkoa
20810,0,Gipuzkoa
21001,3,Huelva
21002,5,Huelva
21003,2,Huelva
21004,4,Huelva
21005,2,Huelva
21006,2,Huelva
21007,4,Huelva
21100,0,Huelva
21110,4,Huelva
21120,1,Huelva
21200,0,Huelva
21400,0,Huelva
21440,0,Huelva
21449,3,Huelva
21450,3,Huelva
21510,9,Huelva
21520,0,Huelva
21600,9,Huelva
21710,22,Huelva
21730,0,Huelva
21760,1,Huelva
21830,0,Huelva
21880,38,Huelva
22005,8,Huesca
22006,1,Huesca
22300,1,Huesca
22400,0,Huesca
22600,2,Huesca
22660,0,Huesca
23001,10,Jaén
23002,7,Jaén
23003,0,Jaén
23004,0,Jaén
23007,0,Jaén
23008,4,Jaén
23009,3,Jaén
23100,0,Jaén
23170,0,Jaén
23196,0,Jaén
23200,8,Jaén
23211,1,Jaén
23240,21,Jaén
23320,29,Jaén
23400,1,Jaén
23440,0,Jaén
23470,0,Jaén
23650,1,Jaén
23680,18,Jaén
23686,1,Jaén
23687,0,Jaén
23689,0,Jaén
23690,2,Jaén
23691,1,Jaén
23692,2,Jaén
23700,18,Jaén
23740,3,Jaén
24001,1,León
24002,6,León
24003,0,León
24005,7,León
24007,7,León
24195,15,León
24196,1,León
24210,0,León
24300,1,León
24320,3,León
24400,0,León
24750,0,León
25001,0,Lleida
25002,1,Lleida
25003,0,Lleida
25005,1,Lleida
25100,0,Lleida
25200,2,Lleida
25230,7,Lleida
25400,3,Lleida
26003,1,La Rioja
26005,2,La Rioja
26200,1,La Rioja
26250,0,La Rioja
26300,4,La Rioja
26360,7,La Rioja
26540,2,La Rioja
26580,0,La Rioja
27002,0,Lugo
27400,0,Monforte de Lemos
27518,0,Lugo
27600,2,Lugo
27619,0,Lugo
27700,0,Lugo
27780,2,Lugo
27800,0,Lugo
28002,7,Madrid
28003,2,Madrid
28004,2,Madrid
28005,20,Madrid
28007,0,Madrid
28009,7,Madrid
28010,3,Madrid
28011,0,Madrid
28015,7,Madrid
28016,2,Madrid
28018,3,Madrid
28019,3,Madrid
28020,4,Madrid
28021,3,Madrid
28022,1,Madrid
28023,2,Madrid
28024,2,Madrid
28025,0,Madrid
28026,0,Madrid
28027,16,Madrid
28028,21,Madrid
28029,25,Madrid
28030,0,Madrid
28031,8,Madrid
28032,4,Madrid
28033,1,Madrid
28034,9,Madrid
28035,12,Madrid
28036,4,Madrid
28037,0,Madrid
28038,0,Madrid
28039,5,Madrid
28041,0,Madrid
28042,16,Madrid
28043,38,Madrid
28045,2,Madrid
28046,0,Madrid
28050,2,Madrid
28052,0,Madrid
28053,3,Madrid
28054,1,Madrid
28055,2,Madrid
28100,32,Madrid
28108,1,Madrid
28109,1,Madrid
28110,2,Madrid
28119,1,Madrid
28130,0,Madrid
28150,0,Madrid
28160,10,Madrid
28180,5,Madrid
28189,0,Madrid
28210,6,Madrid
28220,10,Madrid
28221,1,Madrid
28222,5,Madrid
28223,0,Madrid
28224,4,Madrid
28229,5,Madrid
28231,2,Madrid
28232,6,Las Rozas de Madrid
28250,7,Madrid
28260,7,Madrid
28280,3,Madrid
28290,3,Madrid
28294,0,Madrid
28300,11,Madrid
28341,2,Madrid
28342,18,Madrid
28350,4,Madrid
28360,1,Madrid
28390,0,Madrid
28400,2,Madrid
28410,0,Madrid
28411,3,Madrid
28412,0,Madrid
28420,3,Madrid
28430,2,Madrid
28440,2,Madrid
28460,10,Madrid
28490,1,Becerril de la Sierra
28492,19,Madrid
28500,8,Madrid
28510,2,Madrid
28514,11,Madrid
28521,1,Madrid
28522,3,Madrid
28530,2,Madrid
28600,9,Madrid
28609,5,Sevilla la Nueva
28610,1,Madrid
28660,16,Madrid
28669,4,Madrid
28680,0,Madrid
28690,0,Madrid
28691,2,Madrid
28701,3,Madrid
28702,7,Madrid
28703,2,Madrid
28706,4,Madrid
28709,33,Madrid
28710,0,Madrid
28723,1,Madrid
28729,1,Madrid
28730,1,Madrid
28739,1,Madrid
28750,97,Madrid
28760,13,Madrid
28770,2,Madrid
28792,1,Madrid
28794,3,Madrid
