Postal code,Value test,City,Geo Location
6200.0,-1,Badajoz,"{""latitude"":38.682076,""longitude"":-6.4063669}"
6225.0,1,Badajoz,"{""latitude"":38.5476164,""longitude"":-6.2357807}"
6300.0,3,Badajoz,"{""latitude"":38.4202845,""longitude"":-6.4152698}"
6310.0,-2,Badajoz,"{""latitude"":38.39678923443821,""longitude"":-6.401846032715044}"
6360.0,2,Badajoz,"{""latitude"":38.5284278,""longitude"":-6.4430048}"
6400.0,0,Badajoz,"{""latitude"":38.9579087,""longitude"":-5.8712635}"
6430.0,1,Zalamea De La Serena,"{""latitude"":38.6512999,""longitude"":-5.6544715}"
6450.0,0,Badajoz,"{""latitude"":""38.744636579357255"",""longitude"":""-5.6778496626458566""}"
6480.0,1,Badajoz,"{""latitude"":38.90677723212868,""longitude"":-6.610273598222026}"
6500.0,1,Badajoz,"{""latitude"":""39.3634117"",""longitude"":""-7.1363786""}"
6510.0,0,Badajoz,"{""latitude"":39.220217,""longitude"":-6.9978242}"
6700.0,0,Badajoz,"{""latitude"":""38.9957283"",""longitude"":""-5.7915096""}"
6800.0,11,Badajoz,"{""latitude"":38.9211208,""longitude"":-6.3331968}"
6850.0,1,Badajoz,"{""latitude"":38.8542826,""longitude"":-6.4554533}"
6900.0,1,Badajoz,"{""latitude"":38.240920137986926,""longitude"":-6.018734952984442}"
7006.0,0,Illes Balears,"{""latitude"":39.5693298,""longitude"":2.6611082}"
7007.0,1,Illes Balears,"{""latitude"":39.558246,""longitude"":2.6817877}"
7010.0,0,Illes Balears,"{""latitude"":""39.58878134626507"",""longitude"":""2.650540148887485""}"
7011.0,0,Illes Balears,"{""latitude"":39.583049,""longitude"":2.6373476}"
7013.0,1,Illes Balears,"{""latitude"":39.5779069,""longitude"":2.6340809}"
7141.0,3,Illes Balears,"{""latitude"":""39.6286371"",""longitude"":""2.7328526""}"
7144.0,0,Illes Balears,"{""latitude"":39.6566201,""longitude"":2.9494386}"
7193.0,0,Illes Balears,"{""latitude"":39.663513814723586,""longitude"":2.66851675210241}"
7200.0,-4,Illes Balears,"{""latitude"":39.46950913358252,""longitude"":3.15556775709724}"
7260.0,0,Illes Balears,"{""latitude"":""39.5131119"",""longitude"":""3.0242554""}"
7300.0,7,Illes Balears,"{""latitude"":39.7188172,""longitude"":2.906039}"
7330.0,2,Illes Balears,"{""latitude"":39.668518225464084,""longitude"":2.8112525426736195}"
7400.0,2,Illes Balears,"{""latitude"":39.8261481,""longitude"":3.1158015}"
7460.0,1,Illes Balears,"{""latitude"":39.8762447,""longitude"":3.0178365}"
7500.0,16,Illes Balears,"{""latitude"":39.5742409,""longitude"":3.2125284}"
7590.0,5,Illes Balears,"{""latitude"":39.7090653,""longitude"":3.4565565}"
7600.0,0,Illes Balears,"{""latitude"":39.501132598101734,""longitude"":2.7589151793101463}"
7620.0,2,Illes Balears,"{""latitude"":39.4907784,""longitude"":2.8833768}"
7630.0,5,Campos,"46.0717512,18.2717155"
7650.0,6,Illes Balears,"{""latitude"":39.3593345,""longitude"":3.1307042}"
7680.0,1,Illes Balears,"{""latitude"":39.5445687,""longitude"":3.3376935}"
7710.0,0,Illes Balears,"{""latitude"":39.8520297255576,""longitude"":4.259654582192457}"
7730.0,2,Illes Balears,"{""latitude"":39.93168271622113,""longitude"":4.136148947649694}"
7740.0,1,Illes Balears,"{""latitude"":39.9899973,""longitude"":4.0951429}"
7749.0,0,Illes Balears,"{""latitude"":39.9436211,""longitude"":4.0485035}"
7760.0,5,Illes Balears,"{""latitude"":39.996079759640104,""longitude"":3.8322301028022836}"
7800.0,0,Illes Balears,"{""latitude"":38.9063782,""longitude"":1.4236043}"
7816.0,0,Illes Balears,"{""latitude"":38.93688607,""longitude"":1.40893523}"
7817.0,9,Illes Balears,"{""latitude"":38.8935521,""longitude"":1.3981904}"
8001.0,1,Barcelona,"{""latitude"":41.38087,""longitude"":2.1678492}"
8002.0,0,Barcelona,"{""latitude"":41.3851202,""longitude"":2.1720199}"
8003.0,0,Barcelona,"{""latitude"":41.3865752,""longitude"":2.1802352}"
8005.0,0,Barcelona,"{""latitude"":41.4026984,""longitude"":2.2065627}"
8008.0,0,Barcelona,"{""latitude"":""41.39084"",""longitude"":""2.16024""}"
8011.0,1,Barcelona,"{""latitude"":41.3840534,""longitude"":2.1581896}"
8012.0,1,Barcelona,"{""latitude"":41.4027714,""longitude"":2.1597773}"
8013.0,3,Barcelona,"{""latitude"":41.397,""longitude"":2.1751832}"
8014.0,-1,Barcelona,"{""latitude"":41.37187764999516,""longitude"":2.138179078427135}"
8015.0,0,Barcelona,"{""latitude"":41.38402831138371,""longitude"":2.1563581182006524}"
8017.0,-1,Barcelona,"{""latitude"":41.399904154728894,""longitude"":2.1234868782447163}"
8018.0,0,Barcelona,"{""latitude"":41.406830678796275,""longitude"":2.188607721061294}"
8020.0,0,Barcelona,"{""latitude"":41.4193996,""longitude"":2.1992738}"
8021.0,7,Barcelona,"{""latitude"":41.4013732,""longitude"":2.1385752}"
8022.0,-2,Barcelona,"{""latitude"":41.4040063,""longitude"":2.1340446}"
8023.0,1,Barcelona,"{""latitude"":41.4206508,""longitude"":2.1407737}"
8024.0,1,Barcelona,"{""latitude"":41.409098326370874,""longitude"":2.155316165182696}"
8025.0,0,Barcelona,"{""latitude"":41.40565872120586,""longitude"":2.171443958723803}"
8026.0,-1,Barcelona,"{""latitude"":41.4122629,""longitude"":2.19081}"
8027.0,16,Barcelona,"{""latitude"":41.4204844,""longitude"":2.1900681}"
8028.0,-2,Barcelona,"{""latitude"":41.3712538,""longitude"":2.1288763}"
8029.0,4,Barcelona,"49.6169832,6.0765811"
8030.0,5,Barcelona,"{""latitude"":41.4394771,""longitude"":2.1920867}"
8031.0,0,Barcelona,"52.5267399,6.08395"
8032.0,0,Barcelona,"{""latitude"":41.427928597440804,""longitude"":2.1588424120972993}"
8041.0,1,Barcelona,"{""latitude"":41.4192646,""longitude"":2.1774951}"
8100.0,5,Barcelona,"{""latitude"":41.5351755,""longitude"":2.2093062}"
8110.0,0,Barcelona,"{""latitude"":41.4718603,""longitude"":2.1849529}"
8130.0,-2,Barcelona,"{""latitude"":41.520875132718736,""longitude"":2.1840091608612213}"
8140.0,20,Barcelona,"{""latitude"":41.6299033,""longitude"":2.1661069}"
8160.0,0,Barcelona,"{""latitude"":41.553465,""longitude"":2.2521161}"
8172.0,0,Barcelona,"{""latitude"":""41.4735285"",""longitude"":""2.0804583""}"
8173.0,2,Barcelona,"{""latitude"":41.4689855,""longitude"":2.0747451}"
8174.0,0,Barcelona,"{""latitude"":41.512959296602794,""longitude"":2.0592353495700686}"
8180.0,0,Barcelona,"{""latitude"":""41.7923581"",""longitude"":""2.0527637""}"
8184.0,4,Barcelona,"{""latitude"":41.5855192,""longitude"":2.1769781}"
8186.0,2,Barcelona,"{""latitude"":41.6048763,""longitude"":2.2403528}"
8191.0,1,Barcelona,"{""latitude"":41.4842132,""longitude"":2.031127}"
8197.0,0,Barcelona,"{""latitude"":""41.4616179"",""longitude"":""2.0548484""}"
8202.0,6,Barcelona,"{""latitude"":41.5476785,""longitude"":2.1280985}"
8205.0,0,Barcelona,"{""latitude"":41.528478058407636,""longitude"":2.1029449609351816}"
8206.0,0,Barcelona,"{""latitude"":41.56041791421755,""longitude"":2.096849311569826}"
8208.0,3,Barcelona,"{""latitude"":41.5536284,""longitude"":2.1065575}"
8210.0,0,Barcelona,"{""latitude"":41.51585387999998,""longitude"":2.113675829999999}"
8211.0,1,Barcelona,"{""latitude"":41.6139453,""longitude"":2.0888633}"
8213.0,6,Barcelona,"{""latitude"":41.5541662,""longitude"":2.1568431}"
8214.0,0,Barcelona,"{""latitude"":41.5080575,""longitude"":2.1190403}"
8224.0,0,Barcelona,"{""latitude"":41.56229191289666,""longitude"":2.0022097488508326}"
8226.0,1,Barcelona,"{""latitude"":41.5797301,""longitude"":2.0212557}"
8227.0,-2,Barcelona,"{""latitude"":41.5664872,""longitude"":2.042003}"
8228.0,-2,Barcelona,"{""latitude"":41.5280434,""longitude"":2.0371142}"
8230.0,-1,Barcelona,"{""latitude"":""41.598577"",""longitude"":""2.025589""}"
8233.0,4,Barcelona,"{""latitude"":41.5963546,""longitude"":1.9175724}"
8241.0,0,Barcelona,"46.9318238,17.8328888"
8243.0,1,Barcelona,"{""latitude"":""41.7262858"",""longitude"":""1.8460343""}"
8272.0,0,Barcelona,"{""latitude"":41.75208206825622,""longitude"":1.8739577196376058}"
8291.0,0,Vallès Occidental,"47.0179418,17.6882715"
8296.0,1,Barcelona,"{""latitude"":41.6296531,""longitude"":1.8623592}"
8301.0,-3,Barcelona,"{""latitude"":41.5398831,""longitude"":2.4521251}"
8302.0,2,Barcelona,"{""latitude"":41.533212916424944,""longitude"":2.4377016381750756}"
8303.0,2,Barcelona,"{""latitude"":41.5379788,""longitude"":2.426997}"
8304.0,0,Barcelona,"{""latitude"":41.5439963,""longitude"":2.4348082}"
8319.0,0,Barcelona,"{""latitude"":41.597035608171325,""longitude"":2.409506413371114}"
8320.0,0,Barcelona,"{""latitude"":41.4824805,""longitude"":2.3262324}"
8330.0,0,Barcelona,"{""latitude"":41.4923613,""longitude"":2.3554188}"
8350.0,-1,Barcelona,"{""latitude"":""41.5941839"",""longitude"":""2.5640869""}"
