Postal code,Dudoso,Error,Invalido,Inválido,Negativo,Positivo,Positivo Fuerte
07740,0,0,0,0,68,1,0
07749,0,0,0,0,1,0,0
07760,0,0,0,0,4,5,0
07800,0,0,0,0,8,0,0
07816,0,0,0,0,1,0,0
07817,2,0,0,0,223,13,0
08001,0,0,0,0,6,1,0
08002,0,0,0,0,4,0,0
08003,0,0,0,0,19,0,0
08005,0,0,0,0,5,0,0
08008,0,0,0,0,1,0,0
08011,0,0,0,0,24,1,0
08012,0,0,0,0,43,1,0
08013,0,0,0,0,4,3,0
08014,1,1,0,0,13,2,0
08015,0,0,0,0,4,0,0
08017,1,3,0,0,54,4,0
08018,0,0,0,0,6,0,0
08020,0,0,0,0,1,0,0
08021,0,3,0,0,132,10,0
08022,3,0,0,0,29,4,0
08023,0,0,0,0,28,1,0
08024,0,0,0,0,22,1,0
08025,0,0,0,0,3,0,0
08026,1,0,0,0,15,1,0
08027,1,2,0,0,173,20,0
08028,2,3,0,0,88,5,0
08029,1,0,0,0,55,6,0
08030,0,0,0,0,64,5,0
08031,0,0,0,0,1,0,0
08032,0,0,0,0,2,0,0
08041,2,4,0,0,177,9,0
08100,1,0,0,0,39,7,0
08110,1,0,0,0,8,2,0
08130,1,0,0,0,16,0,0
08140,2,0,0,0,97,24,0
08160,0,0,0,0,1,0,0
08172,0,0,0,0,1,0,0
08173,0,3,0,0,230,5,0
08174,0,0,0,0,1,0,0
08180,0,1,0,0,33,1,0
08184,0,1,0,0,123,5,0
08186,0,0,0,0,4,2,0
08191,0,0,0,0,15,1,0
08197,0,0,0,0,1,0,0
08202,0,0,0,0,16,6,0
08205,0,0,0,0,1,0,0
08206,0,0,0,0,16,0,0
08208,1,1,0,0,80,6,0
08210,0,0,0,0,3,0,0
08211,0,0,0,0,4,1,0
08213,0,0,0,0,23,6,0
08214,0,0,0,0,10,0,0
08224,0,0,0,0,4,0,0
08226,0,0,0,0,26,1,0
08227,2,5,0,0,80,7,0
08228,1,0,0,0,18,0,0
08230,0,1,0,0,3,0,0
08233,0,0,0,0,74,4,0
08241,0,0,0,0,1,0,0
08243,0,0,0,0,10,1,0
08272,0,0,0,0,2,0,0
08291,0,0,0,0,1,0,0
08296,0,0,0,0,1,1,0
08301,0,3,0,0,18,0,0
08302,0,0,0,0,73,2,0
08303,0,0,0,0,10,2,0
08304,0,0,0,0,1,0,0
08319,0,0,0,0,2,0,0
08320,0,0,0,0,3,0,0
08330,0,0,0,0,7,0,0
08350,0,1,0,0,0,0,0
