postal_code,total_tests,total_positives
46800,236,23
46850,109,19
46870,26,6
46900,18,3
46901,25,4
46910,31,0
46920,198,1
46940,106,9
46950,2,0
46960,4,0
46970,27,1
46980,43,1
46988,1,1
4700,81,6
47004,14,4
47007,2,0
47008,17,4
47013,1,0
47014,4,0
47100,4,0
4720,24,2
4721,1,0
4738,1,0
4740,2,0
4741,1,1
47420,1,0
4745,4,1
4746,17,1
4760,11,4
4800,106,5
48003,1,1
48005,20,2
48006,1,0
48007,18,7
48008,6,0
48013,5,1
48014,1,0
48015,36,9
48100,35,8
48130,8,1
4815,1,0
48220,6,0
48480,2,0
4860,21,4
48600,1,1
48610,3,0
48903,2,0
48920,5,1
48940,26,1
48950,1,1
48960,3,1
48991,16,7
49005,2,1
49006,5,1
49300,30,4
49800,196,15
49882,2,0
50002,8,2
50003,17,1
50005,4,0
50006,103,2
50007,7,1
50009,75,3
5001,1,0
50010,303,25
50011,3,0
50012,330,7
50014,37,6
50015,229,7
50016,3,0
50017,59,0
50018,88,8
50019,25,1
50021,158,6
5004,43,6
50100,34,5
50130,74,16
50172,81,12
50180,77,10
50194,2,0
50300,5,2
50410,236,13
50540,36,3
50620,38,2
50630,19,0
50692,1,0
50720,1,0
50781,3,0
50800,12,1
50830,113,12
5200,4,0
52005,2,2
52006,3,2
6003,97,6
6005,1,0
6006,2,0
6010,17,1
6011,129,9
6100,57,10
6160,4,0
6200,11,0
6225,6,1
6300,12,3
6310,33,9
6360,8,2
6400,75,1
6430,42,3
6450,1,0
6480,92,8
6500,5,2
6510,1,0
6700,2,0
6800,237,26
6850,1,1
6900,8,1
7006,56,5
7007,20,1
7010,19,0
7011,83,0
7013,8,3
7141,18,3
7144,3,0
7193,14,0
7200,3,0
7260,6,0
7300,20,9
7330,18,2
7400,81,4
7460,4,1
7500,147,25
7590,106,7
7600,1,0
7620,31,6
7630,28,5
7650,179,16
7680,30,4
7710,11,0
7730,4,2
7740,68,1
7749,1,0
7760,9,5
7800,8,0
7816,1,0
7817,233,13
8001,7,1
8002,4,0
8003,19,0
8005,5,0
8008,1,0
8011,25,1
8012,44,1
8013,7,3
8014,15,2
8015,4,0
8017,58,4
8018,6,0
8020,1,0
8021,141,10
8022,33,4
8023,29,1
8024,23,1
8025,3,0
8026,16,1
8027,193,20
8028,92,5
8029,61,6
8030,69,5
8031,1,0
8032,2,0
8041,185,9
8100,46,7
8110,10,2
8130,16,0
8140,121,24
8160,1,0
8172,1,0
8173,235,5
8174,1,0
8180,34,1
8184,127,5
8186,6,2
8191,16,1
8197,1,0
8202,22,6
8205,1,0
8206,16,0
8208,86,6
8210,3,0
8211,5,1
8213,29,6
8214,10,0
8224,4,0
8226,27,1
8227,87,7
8228,18,0
8230,3,0
8233,78,4
8241,1,0
8243,11,1
8272,2,0
8291,1,0
8296,2,1
8301,17,0
8302,75,2
8303,12,2
8304,1,0
8319,2,0
8320,3,0
8330,7,0
8370,5,1
8389,4,0
8392,11,2
8397,50,3
8398,20,1
8420,75,6
8440,19,8
8445,9,0
8460,47,11
8490,5,2
8500,5,1
8520,807,291
8530,3,0
8553,17,0
8620,16,3
8629,44,12
8635,2,0
8640,17,1
8700,131,14
8711,70,3
8720,117,21
8740,108,7
8750,107,7
8754,1,0
8757,135,15
8769,1,1
8770,92,9
8781,20,7
8783,90,4
8786,92,15
8790,29,2
8791,10,1
8795,4,2
8800,159,18
8810,123,13
8811,152,21
8812,1,0
8820,4,0
8830,86,1
8840,8,1
8850,153,7
8859,1,0
8860,276,10
8870,58,4
8901,105,7
8902,1,0
8903,1,0
8904,3,1
8907,9,1
8912,3,0
8914,59,8
8921,5,0
8922,3,0
8924,135,0
8930,8,0
8940,2,1
8950,72,2
8960,22,0
8970,1,0
8980,136,5
9006,18,1
9007,62,1
9400,3,0
9500,7,1
9550,1,0
