Cod_DC,SUM_Total_censo humano,Shape_Leng,Shape_Area,Cod _prov,Cod _prov,Cod _prov,CCAA,COD_CCAA,Prov,Tasa_CCAA,Estimacion mascotas CP
0104301,3462.00000000000,42577.80073690000,45054526.23040000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,231.966131
0104400,0.00000000000,10657.65814640000,4638104.36783000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,0
0104401,303.00000000000,40220.08256920000,57236371.26800000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,20.30206172
0104601,826.00000000000,83749.65596180000,119737952.82200000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,55.34489433
0104701,1430.00000000000,30896.07033850000,25366517.25810000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,95.81501077
0104901,156.00000000000,21562.58665790000,21661286.80830000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,10.45254663
0105101,5078.00000000000,37906.91731760000,37819727.70050000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,340.2437935
0105201,305.00000000000,16463.55673390000,8621658.35233000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,20.43606873
0105301,730.00000000000,110027.99215400000,84961621.33810000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,48.91255795
0105401,1434.00000000000,38087.76119620000,60961479.75670000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,96.08302479
0105501,1064.00000000000,105273.52808600000,237969441.01400000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,71.29172829
0105601,218.00000000000,38636.97654490000,38184502.69310000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,14.60676388
0105701,284.00000000000,14054.86842620000,8480051.06523000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,19.02899515
0105801,2043.00000000000,37918.24957210000,46072298.72580000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,136.8881587
0105901,39072.00000000000,6695.12235362000,1421262.44274000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,2617.96091
0105902,70248.00000000000,14861.71579530000,7895421.16997000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,4706.862151
0105903,54827.00000000000,11880.00484900000,3932812.14487000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,3673.601116
0105904,33571.00000000000,15096.19215740000,3727508.29072000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,2249.374634
0105905,52103.00000000000,16872.56950820000,8517407.76741000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,3491.083571
0105906,5602.00000000000,145371.62115800000,251547853.67800000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,375.3536296
0106001,250.00000000000,21759.14910550000,18615536.49610000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,16.75087601
0106101,196.00000000000,21041.58765720000,13760498.15980000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,13.13268679
0106201,423.00000000000,44513.13714830000,39549654.89780000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,28.34248221
0106301,2357.00000000000,51044.46081770000,122355474.62400000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,157.927259
0190101,3600.00000000000,35520.16095840000,53421469.72360000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,241.2126145
0190201,937.00000000000,63906.82926710000,67843511.46450000000,01,1,01,País Vasco,16,Araba/Álava,0.06700350404,62.78228328
0200101,768.00000000000,25251.67159280000,30756622.28850000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,106.0194253
0200201,503.00000000000,37227.32840990000,63833511.23600000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,69.43720173
0200301,25812.00000000000,11456.18567880000,6514959.59023000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,3563.246622
0200302,39630.00000000000,9642.96740171000,4391427.59013000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,5470.768001
0200303,20186.00000000000,5633.77564872000,969170.79663800000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,2786.599113
0200304,19805.00000000000,9382.68331240000,3695068.89663000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,2734.003539
0200305,16579.00000000000,5872.49879617000,998815.52711100000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,2288.666734
0200306,18021.00000000000,6397.07811437000,1781656.01483000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,2487.729249
0200307,26649.00000000000,13689.59805220000,5318963.69800000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,3678.79123
0200308,6520.00000000000,277121.39395700000,1117051183.41000000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,900.0607461
0200401,660.00000000000,22573.46094470000,30510690.48630000000,02,2,02,Castilla-La Mancha,8,Albacete,0.1380461267,91.11044362
