COD_POSTAL,Censo_mascota_CP,area_cp
2230,401.3224538,73270165.45
2240,268.2655902,108087966.7
2246,92.53010999,42238314.13
2247,208.5513913,63229619.6
2248,30.93303095,21943834.54
2249,30.93303095,97682697.47
2250,137.7192335,30756636.26
2251,163.9002336,13626993.36
2252,68.38142495,11749206.13
2253,16.49761651,28163015.76
2260,163.9002336,72663295.67
2270,385.5421249,127936508.0
2300,78.00503458,17866741.68
2310,55.23115092,65316097.24
2311,71.01147976,49390021.95
2312,78.00503458,255171293.3
2313,59.35555505,79918136.66
2314,78.00503458,172101789.0
2315,57.74165778,127936085.6
2316,78.00503458,49489527.04
2320,432.5244676,65109147.38
2326,212.8551174,83057992.24
2327,84.10197981,161268421.4
2328,194.8631515,286104774.3
2329,58.45894546,77213119.16
2340,71.01147976,183290737.5
2350,99.70298673,87379070.5
2360,101.8548498,90666142.83
2400,1341.865917,45745680.7
2409,340.3530015,222646283.7
2410,193.1297063,253408062.1
2420,536.5311804,97772715.56
2430,260.9133915,89495673.29
2434,166.4107404,229557613.5
2435,152.7822746,2473041.483
2436,111.0002676,126067012.8
2437,152.7822746,136054797.9
2439,189.6329289,98975502.52
2440,74.32893525,5203808.565
2448,74.32893525,90988082.59
2449,189.6329289,104411858.1
2450,118.6214491,5593801.632
2459,118.6214491,72031168.35
2460,55.76911668,68953126.72
2461,23.31184942,12719817.81
2462,258.800226383484,13309883.74
2480,74.83701402,19254811.83
2484,74.83701402,16268150.4
2485,74.83701402,78642628.67
2486,74.83701402,140082837.2
2487,74.83701402,134562432.9
2489,74.83701402,164788799.9
2490,73.52198662,32395677.68
2499,73.52198662,294040717.1
2500,245.8503504,138735203.6
2510,452.4292006,165542255.1
2511,194.8631515,226631253.9
2512,75.04622292,216774863.9
2513,75.04622292,66236589.0
2520,124.5091855,107126579.0
2530,70.23441811,35058088.19
2534,70.23441811,195954130.8
2536,70.23441811,201877867.6
2600,694.5137906,860407015.0
2610,474.4857966,502274959.2
2611,396.8394058,243215262.0
2612,216.9795215,229258467.6
2614,74.23927429,138588483.1
2620,260.9133915,69780291.21
2630,1119.506738,246540280.3
2636,199.0473296,46654478.78
2637,53.25860982,23941945.09
2638,15.95965075,24776337.0
2639,336.5872412,341692379.0
2640,411.7231251,531826567.4
2650,189.5432679,177740668.7
2651,437.1868375,133336072.1
2652,145.6093979,54360562.27
2653,118.3524663,30510579.34
2660,1823.883234,141593742.5
2690,292.4740492,178428667.1
2691,175.7354802,239161849.4
2692,120.1456854,130195468.3
2693,54.15521941,94668685.73
2694,206.2202064,205382654.0
2695,124.5091855,104231717.3
2696,111.8968772,114525844.3
3001,2609.522384,281852.3265
3002,4331.53858,903578.8136
3003,2609.522384,695821.6552
3004,4331.53858,468657.5393
3005,6304.747083,3454522.115
3006,3622.924479,4966536.532
3007,3622.924479,2350308.066
3008,1948.389025,14233545.37
3009,6304.747083,7409551.523
3010,4028.549099,1231194.029
3011,4028.549099,1369516.027
3012,4208.760096,601512.8921
3013,4208.760096,709781.7337
3014,3318.536154,598430.2212
3015,4208.760096,4956715.855
3016,3318.536154,6720777.764
3071,816.9860347,2781477.682
3100,1685.566333,163823146.8
3108,175.0552601,36496576.35
3109,438.5973572,70403557.02
3110,3078.814362,47656760.7
3111,842.1836623,33842293.72
3112,3318.536154,5911998.344
3113,1948.389025,39127647.83
3114,1948.389025,16666997.82
3115,3318.536154,22634428.99
3130,4796.514127,58185047.9
3138,1948.389025,410777.1435
3139,816.9860347,18082074.11
3140,2072.366517,18714241.93
3149,2072.366517,16873294.96
3150,1561.109237,18704160.27
3158,2240.227726,34746747.69
3159,429.7246933,7094489.689
3160,4480.455452,3799940.714
3169,441.7147796,30617987.18
3170,3252.430812,27560584.79
3176,441.7147796,3002721.668
3177,161.14676,22899536.46
3178,848.4185072,4361065.202
