id,geo_location,city,postal_code,text_test
207771,"{""latitude"":37.44654911362833,""longitude"":-7.104327735820646}",San Bartolomé de la Torre,21510,Positive
207668,"{""latitude"":37.44654911362833,""longitude"":-7.104327735820646}",San Bartolomé de la Torre,21510,Positive
207296,"{""latitude"":37.6688701,""longitude"":-1.7022333}",Lorca,30800,Positive
206292,"{""latitude"":40.5589566,""longitude"":-8.7518531}",Vagos,3840-264,StrongPositive
206033,"{""latitude"":37.46667097329818,""longitude"":-5.6488504257190115}",Carmona,41410,Positive
205203,"{""latitude"":41.7033112,""longitude"":-8.8236745}",Viana do Castelo,4900,Positive
205136,"{""latitude"":43.5375564,""longitude"":-5.6625623}",Gijón / Xixón,33205,Positive
201988,"{""latitude"":37.6669316,""longitude"":-4.7245474}",Fernán-Núñez,14520,Positive
201415,"{""latitude"":37.3801644,""longitude"":-6.0030772}",Sevilla,41010,StrongPositive
201014,"{""latitude"":41.62750450504562,""longitude"":2.29498851980689}",les Franqueses del Vallès,8520,Positive
200448,"{""latitude"":37.1985196,""longitude"":-3.6151471}",Granada,18014,Positive
200286,"{""latitude"":40.6212966,""longitude"":-4.0096544}",Collado Villalba,28400,StrongPositive
200194,"{""latitude"":40.46405666666667,""longitude"":-8.779093333333332}",Praia de Mira,3070,Positive
199723,"{""latitude"":42.8214692,""longitude"":-1.5827782}",Valle de Egüés/Eguesibar,31620,Positive
199565,"{""latitude"":38.8694991,""longitude"":-6.9863221}",Badajoz,6011,Positive
198762,"{""latitude"":38.90669919913306,""longitude"":-6.610367672478904}",Montijo,6480,StrongPositive
196915,"{""latitude"":41.6621491,""longitude"":-0.8745378}",Zaragoza,50015,Positive
196588,"{""latitude"":37.3930135,""longitude"":-5.9977175}",Sevilla,41002,StrongPositive
196253,"{""latitude"":36.4407257,""longitude"":-6.1426389}",Chiclana de la Frontera,11130,Positive
196157,"{""latitude"":40.7921867,""longitude"":-3.6013794}",Venturada,28729,StrongPositive
196057,"{""latitude"":43.3694424,""longitude"":-3.2183884}",Castro-Urdiales,39700,Positive
195840,"{""latitude"":37.3993867,""longitude"":-5.9840288}",Sevilla,41003,StrongPositive
194964,"{""latitude"":39.420466576016416,""longitude"":-0.4870768199632289}",Torrent,46901,Positive
194842,"{""latitude"":41.62751049263654,""longitude"":2.2950190495892757}",les Franqueses del Vallès,8520,StrongPositive
194110,"{""latitude"":40.052338,""longitude"":0.0596987}",Benicàssim / Benicasim,12560,Positive
193748,"{""latitude"":37.6669338,""longitude"":-4.7245301}",Fernán-Núñez,14520,Positive
192876,"{""latitude"":41.6459333,""longitude"":-0.9087826}",Zaragoza,50009,Positive
192040,"{""latitude"":28.055425068581144,""longitude"":-16.62066202163341}",San Miguel de Abona,38639,Positive
191324,"{""latitude"":28.4519072,""longitude"":-16.3665676}",El Rosario,38290,Positive
191000,"{""latitude"":40.5400853,""longitude"":-3.6357444}",Alcobendas,28100,StrongPositive
190590,"{""latitude"":37.4173915,""longitude"":-6.4039535}",Paterna del Campo,21880,Positive
190358,"{""latitude"":39.88135844007123,""longitude"":-3.9710530266202717}",Toledo,45008,Positive
190216,"{""latitude"":41.6276025,""longitude"":2.294898}",les Franqueses del Vallès,8520,Positive
190058,"{""latitude"":43.318762,""longitude"":-8.2967465}",Sada,15168,Positive
190048,"{""latitude"":41.627468912609594,""longitude"":2.2949933401008966}",les Franqueses del Vallès,8520,Positive
189714,"{""latitude"":37.4173839,""longitude"":-6.4038973}",Paterna del Campo,21880,Positive
189577,"{""latitude"":39.8945716,""longitude"":-0.1096331}",les Alqueries / Alquerías del Niño Perdido,12539,Positive
189367,"{""latitude"":37.446470808495526,""longitude"":-7.104394846094709}",San Bartolomé de la Torre,21510,Positive
188933,"{""latitude"":41.195078,""longitude"":1.6179919}",Cunit,43881,Positive
188560,"{""latitude"":37.4309115,""longitude"":-5.9259995}",Sevilla,41020,StrongPositive
188475,"{""latitude"":38.24077355423176,""longitude"":-1.425268194382935}",Cieza,30530,Positive
188114,"{""latitude"":38.24093713631489,""longitude"":-6.018808155273724}",Llerena,6900,Positive
187737,"{""latitude"":40.47001647949217,""longitude"":-3.616867065429686}",Madrid,,StrongPositive
187694,"{""latitude"":38.016464,""longitude"":-4.3792459}",Montoro,14600,Positive
187392,"{""latitude"":38.7369145,""longitude"":-3.0186353}",Villanueva de los Infantes,13320,Positive
186770,"{""latitude"":37.1367676,""longitude"":-8.4591349}",Lagoa,8400-435,Positive
186737,"{""latitude"":37.278285526652276,""longitude"":-6.937807883492202}",Huelva,21005,Positive
186270,"{""latitude"":36.1385245,""longitude"":-5.4563194}",Algeciras,11204,Positive
185013,"{""latitude"":38.0129335,""longitude"":-7.8709377}",Beja,7800-302,StrongPositive
184774,"{""latitude"":36.9280561,""longitude"":-6.0857668}",Lebrija,41740,Positive
183651,"{""latitude"":39.9932219,""longitude"":-0.0347493}",Castelló de la Plana,12004,Positive
183119,"{""latitude"":36.38212665224008,""longitude"":-6.161620454025207}",Chiclana de la Frontera,11130,Positive
182770,"{""latitude"":41.62753651528576,""longitude"":2.2950871275845555}",les Franqueses del Vallès,8520,Positive
182664,"{""latitude"":40.4489688,""longitude"":-3.4710861}",Torrejón de Ardoz,28850,StrongPositive
181953,"{""latitude"":36.7001242,""longitude"":-4.4449606}",Málaga,29003,StrongPositive
181560,"{""latitude"":38.5413568,""longitude"":-8.8588478}",Setúbal,2910-328,Positive
181536,"{""latitude"":38.93756040873652,""longitude"":-8.86999094712266}",Samora Correia,2135-297,Positive
181057,"{""latitude"":39.9931961,""longitude"":-0.0347388}",Castelló de la Plana,12004,Positive
179956,"{""latitude"":40.55147010181293,""longitude"":-3.895504597797525}",Las Rozas de Madrid,28290,Positive
179429,"{""latitude"":41.6274545,""longitude"":2.2949996}",les Franqueses del Vallès,8520,Positive
179404,"{""latitude"":39.89454639325639,""longitude"":-0.10975309146846869}",les Alqueries / Alquerías del Niño Perdido,12539,Positive
179164,"{""latitude"":40.1601023,""longitude"":-8.4329083}",Coimbra,3040-650,Positive
179077,"{""latitude"":36.764389243942595,""longitude"":-3.72000941075731}",Almuñécar,18690,Positive
178970,"{""latitude"":38.5402601,""longitude"":-8.8647073}",Setúbal,2910-279,Positive
178248,"{""latitude"":37.9376894886377,""longitude"":-7.6031274676098555}",Serpa,7830-320,StrongPositive
177818,"{""latitude"":38.988940270735,""longitude"":-0.5296046581859704}",Xàtiva,46800,Positive
177446,"{""latitude"":37.3940348,""longitude"":-5.9208736}",Sevilla,41020,StrongPositive
177230,"{""latitude"":40.7440876,""longitude"":-3.5105937}",Talamanca de Jarama,28160,StrongPositive
177115,"{""latitude"":39.40540291768816,""longitude"":-0.4060462434143529}",Catarroja,46470,Positive
176442,"{""latitude"":40.4880041,""longitude"":-3.8750225}",Las Rozas de Madrid,28231,StrongPositive
176335,"{""latitude"":41.283454478009894,""longitude"":1.722063024781457}",Canyelles,8811,Positive
175051,"{""latitude"":41.6621204,""longitude"":-0.8745346}",Zaragoza,50015,Positive
174862,"{""latitude"":40.39792,""longitude"":-3.6978722}",Madrid,28045,StrongPositive
174191,"{""latitude"":37.2980084,""longitude"":-3.1298955}",Guadix,18500,StrongPositive
