city,text_test,test_value,latitude,longitude
Madrid,StrongPositive,100,40.4576312,-3.7022354
Sevilla,StrongPositive,100,37.3030933,-6.3026535
Córdoba,Positive,50,37.580853382047756,-4.748235425986384
Huelva,StrongPositive,100,37.334816235968084,-6.541583311570953
Cadiz,Positive,50,36.1385098,-5.4562874
Huelva,StrongPositive,100,37.2592221,-6.9460506
Santa Cruz de Tenerife,StrongPositive,100,28.4625347,-16.2533181
Cadiz,Positive,50,36.420762819834785,-6.139546330290701
Toledo,Positive,50,39.9611690954186,-4.836821692390211
Huelva,Positive,50,37.41740192,-6.40382457
Santa Cruz de Tenerife,Positive,50,28.4519298,-16.3665733
Huelva,StrongPositive,100,37.8933091,-6.5621898
A Coruña,StrongPositive,100,43.2837321,-8.2079381
Madrid,StrongPositive,100,40.4701416,-3.6166781
Huelva,StrongPositive,100,37.2881452,-7.1434723
Castell,StrongPositive,100,39.8944086,-0.1098629
Asturias,StrongPositive,100,43.3629397,-5.8384078
Salamanca,Positive,50,40.96723903955018,-5.652786975677848
Barcelona,Positive,50,41.62760125806753,2.2950363374689533
Cadiz,StrongPositive,100,36.4284148,-6.1431019
Sevilla,StrongPositive,100,37.3788762,-6.0424906
A Coruña,StrongPositive,100,43.2800636,-8.2115196
Huesca,Positive,50,42.14742268435657,-0.40536610409617424
Sevilla,StrongPositive,100,37.3565531,-5.9857121
Alicante,Positive,50,38.641824316094244,-0.868670701390503
Sevilla,StrongPositive,100,37.383103990420686,-5.949870453697336
Huelva,Positive,50,37.417366,-6.40389147
Zaragoza,Positive,50,41.6171211,-0.8747148
Illes Balears,Positive,50,39.826124,3.1157974
Murcia,Positive,50,38.24077355423176,-1.425268194382935
Alicante,Positive,50,38.2705889,-0.6833565
Madrid,StrongPositive,100,40.4614519,-3.463665
Vizcaya,Positive,50,43.352904,-2.8397784
Córdoba,Positive,50,37.6669332,-4.7245432
Cadiz,Positive,50,36.5951351,-6.2412258
Madrid,Positive,50,40.50375,-3.8918191
Sevilla,StrongPositive,100,37.4045608,-5.962169
Huelva,Positive,50,37.4173738,-6.4038962
Guadalajara,StrongPositive,100,40.6684913,-3.1974939
Huelva,Positive,50,37.4173765,-6.4039001
Madrid,Positive,50,40.7436573,-3.6055836
Barcelona,Positive,50,41.62754295177468,2.294974071723375
Barcelona,Positive,50,41.63030333333333,2.28971
Madrid,StrongPositive,100,40.4601676,-3.4396286
Barcelona,Positive,50,41.627573241547005,2.295074362831228
Castell,Positive,50,39.9932592,-0.034549
Badajoz,Positive,50,38.90677788815899,-6.610293177742869
Sevilla,StrongPositive,100,37.3822911,-5.9835416
Malaga,StrongPositive,100,36.8822598,-4.8440675
Murcia,Positive,50,37.6178756,-0.8766497
Santa Cruz de Tenerife,Positive,50,28.4558538,-16.4515066
Sevilla,Positive,50,37.6753636,-5.9897834
La Corua,Positive,50,43.3187581,-8.2967444
La Rioja,Positive,50,42.4534095,-2.4631156
Sevilla,Positive,50,37.2869177,-6.0511902
Zaragoza,Positive,50,41.61723505668126,-0.874554881115839
Granada,StrongPositive,100,37.2980269,-3.1297892
Madrid,StrongPositive,100,40.4535044,-3.7098754
Asturias,StrongPositive,100,43.364347,-5.8339389
Madrid,StrongPositive,100,40.4577075,-3.446169
Zaragoza,Positive,50,41.6480878,-0.9180293
Illes Balears,StrongPositive,100,39.574277,3.2125767
Asturias,StrongPositive,100,43.2746519,-5.6024036
Sevilla,StrongPositive,100,37.3826922,-5.7245086
Sevilla,StrongPositive,100,37.3832285,-6.0064518
Sevilla,StrongPositive,100,37.3826768,-6.1218433
Santa Cruz de Tenerife,Positive,50,28.055347055152502,-16.620454509645676
Huelva,StrongPositive,100,37.2055812,-7.2187598
Huelva,Positive,50,37.4173865,-6.4039049
Granada,Positive,50,37.1984803,-3.6151118
Barcelona,Positive,50,41.62749443631065,2.2948555929878647
Santa Cruz de Tenerife,Positive,50,28.055434478214583,-16.62050634716212
Valencia,Positive,50,38.916484446839355,-0.5549905210244651
Santa Cruz de Tenerife,Positive,50,28.4519337,-16.3665779
Barcelona,Positive,50,41.627494705639826,2.294944694117472
Murcia,Positive,50,37.9889264,-1.1273159
Huelva,Positive,50,37.4173968,-6.4038818
Asturias,StrongPositive,100,43.3682618,-5.8223152
Barcelona,Positive,50,41.62775952,2.29530357
Murcia,Positive,50,37.989252,-1.1270535
Malaga,StrongPositive,100,36.7476683,-5.1599779
A Coruña,StrongPositive,100,43.2424219,-8.9005646
Cadiz,Positive,50,36.38212133424984,-6.161622279330007
Asturias,StrongPositive,100,43.5375253,-5.6637076
Cadiz,StrongPositive,100,36.5790126,-6.223931
Granada,StrongPositive,100,37.29805,-3.1297876
Cadiz,Positive,50,36.382250470078525,-6.161640804911024
Toledo,StrongPositive,100,40.076468,-3.8553791
Huelva,Positive,50,37.278154720036405,-6.937756174056006
Sevilla,Positive,50,37.2867875,-6.0513308
Huelva,StrongPositive,100,37.2881346,-7.1434995
Barcelona,Positive,50,41.62752603652928,2.2951074340955686
Huelva,Positive,50,37.446460509709276,-7.104423062751606
Córdoba,Positive,50,38.3778292,-4.8460401
Sevilla,StrongPositive,100,37.4666652,-5.6487052
Sevilla,StrongPositive,100,37.3497633,-5.9856369
Alicante,Positive,50,38.2706065,-0.6833649
Cadiz,StrongPositive,100,36.13864887215691,-5.45616385775003
Barcelona,Positive,50,41.627526982867224,2.295011919827912
Badajoz,Positive,50,38.240920137986926,-6.018734952984442
Barcelona,Positive,50,41.4659261,1.823275
Córdoba,Positive,50,38.0164685,-4.3792574
Murcia,Positive,50,37.56355471016319,-1.261399044922148
Cantabria,Positive,50,43.389837976324394,-4.027577655579947
Cadiz,StrongPositive,100,36.1647211,-5.3475235
Granada,StrongPositive,100,37.185643,-3.6024524
Madrid,StrongPositive,100,40.4913693,-3.8648273
Barcelona,Positive,50,41.62754117429997,2.295003892305449
Vizcaya,Positive,50,43.2696195,-2.9502578
Huelva,Positive,50,37.44646466599116,-7.1044559470008
Cadiz,StrongPositive,100,36.1286982,-5.4510424
Sevilla,Positive,50,37.3566394,-6.0280541
Cadiz,StrongPositive,100,36.5955661,-6.2434603
Cadiz,StrongPositive,100,36.8623939,-5.646811
Sevilla,StrongPositive,100,37.3734646,-5.952797
Sevilla,StrongPositive,100,37.3778618,-5.974157
Sevilla,Positive,50,37.675363,-5.9897868
Santa Cruz de Tenerife,Positive,50,28.4519198,-16.366592
Badajoz,StrongPositive,100,38.870847172004446,-6.969155150285175
Madrid,StrongPositive,100,40.4312429,-3.7011539
Barcelona,Positive,50,41.62755950313626,2.2950288660854876
Soria,Positive,50,41.50459214882231,-2.5663371502187435
Badajoz,Positive,50,38.92750967989206,-6.347863720849056
Madrid,Positive,50,40.7356629,-3.9469852
Barcelona,Positive,50,41.62751713574207,2.294919773422362
Sevilla,StrongPositive,100,37.3819066,-5.9333117
Malaga,Positive,50,36.75093665343454,-3.8729805874705505
Barcelona,Positive,50,41.62758331219694,2.2950363185949847
Barcelona,Positive,50,41.6275308075047,2.295002304287325
Cadiz,Positive,50,36.4407084,-6.142632
Cantabria,Positive,50,43.38984760857034,-4.027569449731928
Sevilla,StrongPositive,100,37.3541951,-6.0536982
Cadiz,Positive,50,36.42850127389005,-6.14337337226164
Tarragona,Positive,50,40.6222302,0.5936759
Castell,Positive,50,39.99090934291222,-0.06101600880008181
A Coruña,StrongPositive,100,43.354676942964645,-8.254266988963682
Huesca,StrongPositive,100,42.12679506025829,-0.40481106401095845
Sevilla,StrongPositive,100,37.0683869,-5.0964768
Cadiz,Positive,50,36.440774556271656,-6.1425730585756835
Zaragoza,Positive,50,41.6621356,-0.8745579
Madrid,StrongPositive,100,40.7849622,-3.7015868
Madrid,StrongPositive,100,40.2924,-4.0119495
Cadiz,StrongPositive,100,36.4489466,-6.2116505
Murcia,Positive,50,38.1058168,-1.8589858
Madrid,StrongPositive,100,40.6101162,-3.5829647
Barcelona,Positive,50,41.62749729202996,2.2948204357496222
Malaga,StrongPositive,100,36.6387995,-4.4892859
Madrid,StrongPositive,100,40.4237495,-3.7014548
Madrid,StrongPositive,100,40.4850004,-3.7219479
Malaga,Positive,50,36.517152,-4.8892363
Huelva,Positive,50,37.4173695,-6.4039267
Tarragona,Positive,50,40.6221874,0.5937181
Sevilla,StrongPositive,100,37.3781474,-5.9993386
Huelva,Positive,50,37.4173904,-6.4038937
Barcelona,Positive,50,41.62754191966379,2.2949665420879426
Alicante,Positive,50,38.2706074,-0.6833483
Cadiz,Positive,50,36.1385234,-5.4562591
Sevilla,Positive,50,37.3129596,-6.103738
Cadiz,StrongPositive,100,36.5222169,-6.2272823
Cadiz,Positive,50,36.6677553,-6.1392758
Sevilla,StrongPositive,100,37.3463125,-6.0606627
Badajoz,StrongPositive,100,38.682017,-6.4064315
Granada,Positive,50,37.2979994,-3.1297883
Badajoz,Positive,50,38.92766877555857,-6.347885241332148
Barcelona,Positive,50,41.6275535944403,2.2950022732737723
Alicante,Positive,50,38.2705936,-0.6833633
Malaga,Positive,50,36.694031,-4.4430433
Huelva,Positive,50,37.2881406,-7.1434836
Sevilla,StrongPositive,100,37.3858945,-5.9797214
Cadiz,StrongPositive,100,36.5991072,-6.2444245
Sevilla,StrongPositive,100,37.3805116,-5.9783293
Madrid,StrongPositive,100,40.4286571,-3.7026845
Vizcaya,Positive,50,43.3529097,-2.8397993
Badajoz,Positive,50,38.906784285279905,-6.6102832637396425
Madrid,Positive,50,40.035508039518916,-3.595236799860157
Sevilla,StrongPositive,100,37.401456,-5.9374102
Malaga,Positive,50,36.6939567,-4.4431252
Zaragoza,Positive,50,41.6480251,-0.9181749
Valencia,Positive,50,38.9889725,-0.529546
Barcelona,Positive,50,41.62753455367513,2.2949836431451267
Cadiz,Positive,50,36.440760469676206,-6.142554421359752
Barcelona,Positive,50,41.62757684716863,2.2950760058965884
Castell,StrongPositive,100,39.9932375,-0.0347861
Granada,Positive,50,37.1984205,-3.6151673
Sevilla,Positive,50,37.1868985,-5.7881644
Alicante,StrongPositive,100,38.6416829,-0.8687971
Huelva,StrongPositive,100,37.275282,-6.9914042
Murcia,Positive,50,37.9892245,-1.1271158
Malaga,Positive,50,36.659205510134576,-4.506030666145222
Huelva,Positive,50,37.41736431,-6.40382846
Asturias,Positive,50,43.2746511,-5.6023971
Tarragona,Positive,50,40.6222457,0.5936936
Granada,StrongPositive,100,37.2980307,-3.1298607
Badajoz,StrongPositive,100,38.906774203463726,-6.610291931151391
Malaga,StrongPositive,100,36.5305066,-4.8723188
La Corua,StrongPositive,100,43.3062312,-8.2326741
Barcelona,Positive,50,41.6276264,2.2947037
Malaga,StrongPositive,100,37.0239873,-4.5738909
Córdoba,StrongPositive,100,37.54851536363147,-4.766767965634135
Cadiz,Positive,50,36.4284004,-6.1431017
Badajoz,Positive,50,38.39703063394438,-6.40200012543916
Sevilla,StrongPositive,100,37.3855599,-5.9076737
Santa Cruz de Tenerife,StrongPositive,100,28.3303558,-16.3678111
Valencia,Positive,50,39.57919011857771,-0.5333065731719456
Santa Cruz de Tenerife,Positive,50,28.055370864330396,-16.620481902314214
Madrid,StrongPositive,100,40.5642697,-3.6118408
Illes Balears,StrongPositive,100,39.7188066,2.9060853
Badajoz,Positive,50,38.906776937216655,-6.610265571275343
Alicante,Positive,50,38.6376056,-0.8704663
Cadiz,Positive,50,36.4284141,-6.1431267
Sevilla,StrongPositive,100,37.3026588,-6.2987027
Huelva,StrongPositive,100,37.44644164999998,-7.104422559999997
Cadiz,Positive,50,36.38211408596768,-6.161617440922742
Madrid,StrongPositive,100,40.5041453,-3.5067487
Sevilla,Positive,50,37.4023171,-5.92386
Malaga,Positive,50,36.9774862,-4.8951981
Barcelona,Positive,50,41.627529,2.2949984
Huelva,Positive,50,37.417387,-6.4038782
Huelva,StrongPositive,100,37.32884611777265,-6.542115407858223
Córdoba,StrongPositive,100,37.4380142,-4.1932893
